Movie,Release,Rating
Green Book,2018,8.3
Bohemian Rhapsody,2018,8.1
A Star Is Born,2018,7.8
The Favourite,2018,7.7
Roma,2018,7.9
Spider-Man: Into the Spider-Verse,2018,8.6
Avengers: Infinity War,2018,8.5
Deadpool 2,2018,7.8
A Quiet Place,2018,7.6
Incredibles 2,2018,7.8
The Hangover,2009,7.7
Cold War,2018,7.7
Get Out,2017,7.7
La La Land,2016,8
Do the Right Thing,1989,7.9
The Godfather,1972,9.2
Harry Potter and the Sorcerer's Stone,2001,7.6
How to Train Your Dragon,2010,8.1
How to Train Your Dragon 2,2014,7.8
The Shawshank Redemption,1994,9.3
Pulp Fiction,1994,8.9
The Dark Knight,2008,9
Guardians of the Galaxy,2014,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.2
Interstellar,2014,8.6
Thor: Ragnarok,2017,7.9
The Revenant,2015,8
The Lion King,1994,8.5
Inception,2010,8.8
Mission: Impossible - Fallout,2018,7.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Room,2015,8.2
Forrest Gump,1994,8.8
Titanic,1997,7.8
The Departed,2006,8.5
Isle of Dogs,2018,7.9
Blade Runner 2049,2017,8
Call Me by Your Name,2017,7.9
Schindler's List,1993,8.9
The Silence of the Lambs,1991,8.6
Django Unchained,2012,8.4
Watchmen,2009,7.6
No Country for Old Men,2007,8.1
Apocalypse Now,1979,8.5
The Lord of the Rings: The Return of the King,2003,8.9
The Wolf of Wall Street,2013,8.2
The Matrix,1999,8.7
Inglourious Basterds,2009,8.3
The Breakfast Club,1985,7.9
Jurassic Park,1993,8.1
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
Gone Girl,2014,8.1
The Avengers,2012,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Lion,2016,8.1
Mad Max: Fury Road,2015,8.1
Logan,2017,8.1
Goodfellas,1990,8.7
Gravity,2013,7.7
Crash,2004,7.8
Guardians of the Galaxy Vol. 2,2017,7.7
Saving Private Ryan,1998,8.6
Avatar,2009,7.8
The Dark Knight Rises,2012,8.4
Silver Linings Playbook,2012,7.7
Y Tu Mamá También,2001,7.7
Searching,2018,7.7
Deadpool,2016,8
Captain Fantastic,2016,7.9
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Help,2011,8.1
Wonder,2017,8
Zodiac,2007,7.7
Dunkirk,2017,7.9
Se7en,1995,8.6
Casino Royale,2006,8
The Fifth Element,1997,7.7
Children of Men,2006,7.9
The Goonies,1985,7.8
Baby Driver,2017,7.6
Gladiator,2000,8.5
Creed,2015,7.6
The Hateful Eight,2015,7.8
Pan's Labyrinth,2006,8.2
Whiplash,2014,8.5
Léon: The Professional,1994,8.6
The Martian,2015,8
X-Men: Days of Future Past,2014,8
The Big Short,2015,7.8
Wreck-It Ralph,2012,7.7
Hot Fuzz,2007,7.9
Fight Club,1999,8.8
Alien,1979,8.5
Scarface,1983,8.3
The Notebook,2004,7.9
Coco,2017,8.4
A Clockwork Orange,1971,8.3
12 Years a Slave,2013,8.1
The Incredibles,2004,8
Back to the Future,1985,8.5
Spotlight,2015,8.1
American Beauty,1999,8.4
The Big Lebowski,1998,8.1
Harry Potter and the Goblet of Fire,2005,7.7
Kingsman: The Secret Service,2014,7.7
The Shining,1980,8.4
The Prestige,2006,8.5
Requiem for a Dream,2000,8.3
The Godfather: Part II,1974,9
Captain America: Civil War,2016,7.8
Gone with the Wind,1939,8.2
Good Will Hunting,1997,8.3
Terminator 2: Judgment Day,1991,8.5
Arrival,2016,7.9
Hacksaw Ridge,2016,8.1
The Green Mile,1999,8.5
Tombstone,1993,7.8
Rogue One: A Star Wars Story,2016,7.8
Hidden Figures,2016,7.8
Rocky,1976,8.1
Ghostbusters,1984,7.8
Moana,2016,7.6
Star Wars: Episode VII - The Force Awakens,2015,8
The Grand Budapest Hotel,2014,8.1
The Lego Movie,2014,7.8
Star Wars: Episode IV - A New Hope,1977,8.6
Jaws,1975,8
Sicario,2015,7.6
The Deer Hunter,1978,8.1
Blade Runner,1982,8.2
Edge of Tomorrow,2014,7.9
The Princess Bride,1987,8.1
Iron Man,2008,7.9
One Flew Over the Cuckoo's Nest,1975,8.7
The Usual Suspects,1995,8.6
The Hobbit: An Unexpected Journey,2012,7.9
Captain America: The Winter Soldier,2014,7.8
Ex Machina,2014,7.7
"Love, Simon",2018,7.7
Taxi Driver,1976,8.3
Wind River,2017,7.7
Pride & Prejudice,2005,7.8
Prisoners,2013,8.1
Raiders of the Lost Ark,1981,8.5
The Terminator,1984,8
About Time,2013,7.8
Her,2013,8
Love Actually,2003,7.6
Heat,1995,8.2
Fargo,1996,8.1
Shutter Island,2010,8.1
Black Hawk Down,2001,7.7
Blow,2001,7.6
American Psycho,2000,7.6
The Girl with the Dragon Tattoo,2011,7.8
Platoon,1986,8.1
The Sandlot,1993,7.8
Batman Begins,2005,8.2
300,2006,7.7
Mary Poppins,1964,7.8
Eternal Sunshine of the Spotless Mind,2004,8.3
West Side Story,1961,7.6
The Social Network,2010,7.7
Psycho,1960,8.5
Star Trek,2009,8
Malcolm X,1992,7.7
12 Angry Men,1957,8.9
Manchester by the Sea,2016,7.8
X-Men: First Class,2011,7.7
The Pianist,2002,8.5
Black Swan,2010,8
Brokeback Mountain,2005,7.7
Donnie Darko,2001,8.1
Braveheart,1995,8.4
What We Do in the Shadows,2014,7.7
The Fighter,2010,7.8
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
"The Good, the Bad and the Ugly",1966,8.9
The Intouchables,2011,8.5
Spirited Away,2001,8.6
Fury,2014,7.6
Cast Away,2000,7.8
The Curious Case of Benjamin Button,2008,7.8
Dazed and Confused,1993,7.7
American History X,1998,8.5
The Machinist,2004,7.7
Minority Report,2002,7.7
Atonement,2007,7.8
Skyfall,2012,7.8
Eastern Promises,2007,7.7
Kill Bill: Vol. 1,2003,8.1
Drive,2011,7.8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8
Life Is Beautiful,1997,8.6
The Lord of the Rings: The Two Towers,2002,8.7
Harry Potter and the Half-Blood Prince,2009,7.6
Gran Torino,2008,8.1
Office Space,1999,7.8
Hell or High Water,2016,7.6
Toy Story,1995,8.3
American Gangster,2007,7.8
Superbad,2007,7.6
Sin City,2005,8
Once Upon a Time in America,1984,8.4
True Grit,2010,7.6
Serenity,2005,7.9
Andhadhun,2018,8.6
E.T. the Extra-Terrestrial,1982,7.9
Downfall,2004,8.2
A Beautiful Mind,2001,8.2
Apocalypto,2006,7.8
Dances with Wolves,1990,8
Full Metal Jacket,1987,8.3
The Hurt Locker,2008,7.6
Singin' in the Rain,1952,8.3
Dallas Buyers Club,2013,8
Blue Is the Warmest Color,2013,7.8
2001: A Space Odyssey,1968,8.3
The Sound of Music,1965,8
Catch Me If You Can,2002,8.1
There Will Be Blood,2007,8.2
Kick-Ass,2010,7.6
V for Vendetta,2005,8.2
Stand by Me,1986,8.1
The Wizard of Oz,1939,8
Reservoir Dogs,1992,8.3
Memento,2000,8.5
The Butterfly Effect,2004,7.7
Willy Wonka & the Chocolate Factory,1971,7.8
The Dirty Dozen,1967,7.8
Once Upon a Time in the West,1968,8.5
The Imitation Game,2014,8
Unforgiven,1992,8.2
Shaun of the Dead,2004,7.9
Snatch,2000,8.3
Aladdin,1992,8
Aliens,1986,8.4
Indiana Jones and the Last Crusade,1989,8.2
Your Name.,2016,8.4
The Little Mermaid,1989,7.6
City of God,2002,8.6
The Blind Side,2009,7.7
Oldboy,2003,8.4
A Bronx Tale,1993,7.8
Ocean's Eleven,2001,7.8
Ferris Bueller's Day Off,1986,7.8
Die Hard,1988,8.2
Predator,1987,7.8
Cool Hand Luke,1967,8.1
The Truman Show,1998,8.1
Sing Street,2016,8
Zootopia,2016,8
Contratiempo,2016,8.1
Inside Out,2015,8.2
L.A. Confidential,1997,8.3
The Boy in the Striped Pajamas,2008,7.8
Tangled,2010,7.8
Nightcrawler,2014,7.9
Slumdog Millionaire,2008,8
Apollo 13,1995,7.6
Argo,2012,7.7
The Theory of Everything,2014,7.7
Batman,1989,7.5
Trainspotting,1996,8.2
The Sixth Sense,1999,8.1
Remember the Titans,2000,7.8
True Romance,1993,7.9
Amadeus,1984,8.3
Only the Brave,2017,7.7
Papillon,1973,8
The Untouchables,1987,7.9
The Perks of Being a Wallflower,2012,8
The Exorcist,1973,8
The Godfather: Part III,1990,7.6
Almost Famous,2000,7.9
Stardust,2007,7.7
Casablanca,1942,8.5
Billy Elliot,2000,7.7
Zombieland,2009,7.6
The Graduate,1967,8
Mulan,1998,7.6
Into the Wild,2007,8.1
The Florida Project,2017,7.6
Monty Python and the Holy Grail,1975,8.3
The Lives of Others,2006,8.4
Lost in Translation,2003,7.8
Big Fish,2003,8
Little Miss Sunshine,2006,7.8
Big Hero 6,2014,7.8
Boogie Nights,1997,7.9
First Blood,1982,7.7
The Reader,2008,7.6
Mulholland Drive,2001,8
Inside Man,2006,7.6
The Blues Brothers,1980,7.9
Up,2009,8.3
Citizen Kane,1941,8.3
Gifted,2017,7.6
The Impossible,2012,7.6
Million Dollar Baby,2004,8.1
The Town,2010,7.6
The Handmaiden,2016,8.1
Warrior,2011,8.2
Toy Story 3,2010,8.3
As Good as It Gets,1997,7.7
Training Day,2001,7.7
Butch Cassidy and the Sundance Kid,1969,8.1
Breakfast at Tiffany's,1961,7.7
WALL·E,2008,8.4
Traffic,2000,7.6
Taken,2008,7.8
RoboCop,1987,7.6
Star Wars: Episode VI - Return of the Jedi,1983,8.3
The Fault in Our Stars,2014,7.7
Gone Baby Gone,2007,7.7
Shrek,2001,7.9
The Thing,1982,8.1
Indiana Jones and the Temple of Doom,1984,7.6
Mystic River,2003,8
District 9,2009,7.9
Boyhood,2014,7.9
Ratatouille,2007,8
"Lock, Stock and Two Smoking Barrels",1998,8.2
Star Wars: Episode V - The Empire Strikes Back,1980,8.8
The Hunt,2012,8.3
The King's Speech,2010,8
Gangs of New York,2002,7.5
Casino,1995,8.2
The Hobbit: The Desolation of Smaug,2013,7.8
The Fugitive,1993,7.8
Some Like It Hot,1959,8.2
A Little Princess,1995,7.7
Dangerous Liaisons,1988,7.6
Sherlock Holmes,2009,7.6
"O Brother, Where Art Thou?",2000,7.8
Rebel Without a Cause,1955,7.8
Dead Poets Society,1989,8.1
Star Trek Into Darkness,2013,7.7
"Monsters, Inc.",2001,8.1
Finding Nemo,2003,8.1
What's Eating Gilbert Grape,1993,7.8
The Bourne Identity,2002,7.9
Halloween,1978,7.8
The Last of the Mohicans,1992,7.8
Collateral,2004,7.5
Brazil,1985,8
Scent of a Woman,1992,8
The Warriors,1979,7.7
Short Term 12,2013,8
Stalker,1979,8.1
Dangal,2016,8.5
Moonrise Kingdom,2012,7.8
Kill Bill: Vol. 2,2004,8
Toy Story 2,1999,7.9
Airplane!,1980,7.8
Star Wars: Episode III - Revenge of the Sith,2005,7.6
Rear Window,1954,8.5
The Big Sick,2017,7.6
The Boondock Saints,1999,7.8
The Color Purple,1985,7.8
The Piano,1993,7.6
28 Days Later...,2002,7.6
Amélie,2001,8.3
Rain Man,1988,8
Enemy at the Gates,2001,7.6
The Girl with the Dragon Tattoo,2009,7.8
Moulin Rouge!,2001,7.6
In Bruges,2008,7.9
The Magnificent Seven,1960,7.8
Sling Blade,1996,8
Midnight in Paris,2011,7.7
Fantastic Mr. Fox,2009,7.9
Walk the Line,2005,7.9
Saw,2004,7.6
The Pursuit of Happyness,2006,8
Rush,2013,8.1
Beauty and the Beast,1991,8
To Kill a Mockingbird,1962,8.3
Goldfinger,1964,7.7
The Count of Monte Cristo,2002,7.8
Blue Velvet,1986,7.8
Dark City,1998,7.7
Lawrence of Arabia,1962,8.3
Twelve Monkeys,1995,8
The Artist,2011,7.9
Straight Outta Compton,2015,7.9
Paddington 2,2017,7.9
Bridge of Spies,2015,7.6
Incendies,2010,8.3
Interview with the Vampire: The Vampire Chronicles,1994,7.6
Empire of the Sun,1987,7.8
Life of Pi,2012,7.9
Boyz n the Hood,1991,7.8
The Crow,1994,7.6
Raging Bull,1980,8.2
Midnight Cowboy,1969,7.9
Blood Diamond,2006,8
Groundhog Day,1993,8
Fear and Loathing in Las Vegas,1998,7.7
500 Days of Summer,2009,7.7
Moon,2009,7.9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
A Hard Day's Night,1964,7.7
"Crouching Tiger, Hidden Dragon",2000,7.9
Man on Fire,2004,7.7
Edward Scissorhands,1990,7.9
The Bourne Supremacy,2004,7.8
Back to the Future Part II,1989,7.8
Sense and Sensibility,1995,7.7
The Last Samurai,2003,7.7
Cat on a Hot Tin Roof,1958,8.1
3 Idiots,2009,8.4
Misery,1990,7.8
Gattaca,1997,7.8
Primal Fear,1996,7.7
Ray,2004,7.7
Vertigo,1958,8.3
The Sting,1973,8.3
Seven Samurai,1954,8.7
Rosemary's Baby,1968,8
Mr. Nobody,2009,7.8
MASH,1970,7.6
In the Name of the Father,1993,8.1
Moneyball,2011,7.6
The Game,1997,7.8
Philadelphia,1993,7.7
Lolita,1962,7.6
A Few Good Men,1992,7.7
Chinatown,1974,8.2
Das Boot,1981,8.4
Being John Malkovich,1999,7.8
Stalag 17,1953,8
Akira,1988,8.1
Ben-Hur,1959,8.1
Despicable Me,2010,7.7
The Hunt for Red October,1990,7.6
Munich,2005,7.6
All the President's Men,1976,8
Howl's Moving Castle,2004,8.2
Life of Brian,1979,8.1
Coraline,2009,7.7
Annie Hall,1977,8
The Secret in Their Eyes,2009,8.2
Dogville,2003,8
Hunt for the Wilderpeople,2016,7.9
Midnight Express,1978,7.6
Captain Phillips,2013,7.8
Sleepers,1996,7.6
Kung Fu Panda,2008,7.6
It's a Wonderful Life,1946,8.6
Magnolia,1999,8
Wild Tales,2014,8.1
My Fair Lady,1964,7.9
The Fly,1986,7.5
Doctor Zhivago,1965,8
Before Sunrise,1995,8.1
The Thin Red Line,1998,7.6
Kiss Kiss Bang Bang,2005,7.6
Princess Mononoke,1997,8.4
Dawn of the Planet of the Apes,2014,7.6
Blazing Saddles,1974,7.8
127 Hours,2010,7.6
Mississippi Burning,1988,7.8
The Great Escape,1963,8.2
The Road Warrior,1981,7.6
Network,1976,8.1
The Holy Mountain,1973,7.9
The Raid: Redemption,2011,7.6
When Harry Met Sally...,1989,7.6
Wings of Desire,1987,8.1
An American Werewolf in London,1981,7.6
Carlito's Way,1993,7.9
From Here to Eternity,1953,7.7
The Royal Tenenbaums,2001,7.6
Deliverance,1972,7.7
Metropolis,1927,8.3
A Separation,2011,8.3
In the Heat of the Night,1967,8
This Is Spinal Tap,1984,8
The Others,2001,7.6
Young Frankenstein,1974,8
Amores Perros,2000,8.1
Barry Lyndon,1975,8.1
3:10 to Yuma,2007,7.7
High Plains Drifter,1973,7.6
Charade,1963,8
Ghost in the Shell,1995,8
Glory,1989,7.9
Loving Vincent,2017,7.8
End of Watch,2012,7.6
Spartacus,1960,7.9
Dog Day Afternoon,1975,8
Who Framed Roger Rabbit,1988,7.7
21 Grams,2003,7.7
Midnight Run,1988,7.6
The Bourne Ultimatum,2007,8
